Country,Mean (Before),Mean (After),Mean (Diff),Min (Before),Min (After),Min (Diff),Max (Before),Max (After),Max (Diff),Std (Before),Std (After),Std (Diff)
Bosnia and Herzegovina,21.3834,21.3834,0.0,17.55,17.55,0.0,25.187,25.187,0.0,2.482529901352874,2.482529901352874,0.0
Botswana,18.9116,18.9116,0.0,13.82,13.82,0.0,21.593,21.593,0.0,2.773475485138937,2.773475485138937,0.0
Djibouti,26.749000000000002,26.749000000000002,0.0,25.669,25.669,0.0,27.279,27.279,0.0,0.5336061802074218,0.5336061802074218,0.0
Algeria,26.969900000000003,26.969900000000003,0.0,20.6,20.6,0.0,31.84,31.84,0.0,3.102830551824145,3.102830551824145,0.0
Spain,19.343899999999998,19.343899999999998,0.0,13.785,13.785,0.0,24.209,24.209,0.0,3.5438517479024303,3.5438517479024303,0.0
Greece,10.3184,10.3184,0.0,7.572,7.572,0.0,12.227,12.227,0.0,1.4078495184737134,1.4078495184737134,0.0
St. Lucia,17.5637,17.5637,0.0,15.83,15.83,0.0,21.6,21.6,0.0,1.9380163999994084,1.9380163999994084,0.0
North Macedonia,31.8,31.8,0.0,24.5,24.5,0.0,38.8,38.8,0.0,4.6245720522732325,4.6245720522732325,0.0
Montenegro,30.357399999999995,30.357399999999995,0.0,30.228,30.228,0.0,30.676,30.676,0.0,0.15565931460154322,0.15565931460154322,0.0
Namibia,21.0223,21.0223,0.0,18.932,18.932,0.0,24.45,24.45,0.0,1.9584931310689975,1.9584931310689975,0.0
Eswatini,22.296100000000003,22.296100000000003,0.0,20.684,20.684,0.0,24.502,24.502,0.0,1.2173272590209894,1.2173272590209894,0.0
South Africa,22.8208,22.8208,0.0,22.48,22.48,0.0,23.262,23.262,0.0,0.2672214229602276,0.2672214229602276,0.0
